,tournament,stage,home,score,away,url,first_shooter,First_team_wins
89,FA cup,Semi-Finals,Coventry,2:4 PSO,Man Utd,https://www.transfermarkt.com/spielbericht/index/spielbericht/4313194,Man Utd,1
93,FA cup,Final,Chelsea,5:6 PSO,Liverpool,https://www.transfermarkt.com/spielbericht/index/spielbericht/3813442,Chelsea,0
109,FA cup,Semi-Finals,Wigan,2:4 PSO,Arsenal,https://www.transfermarkt.com/spielbericht/index/spielbericht/2446416,Wigan,0
115,FA cup,Semi-Finals,Man Utd,2:4 PSO,Everton,https://www.transfermarkt.com/spielbericht/index/spielbericht/940166,Everton,1
121,FA cup,Final,Liverpool,3:1 PSO,West Ham,https://www.transfermarkt.com/spielbericht/index/spielbericht/945554,Liverpool,1
0,AFC Asian Cup,Quarter-Finals,Qatar,3:2 PSO,Uzbekistan,https://www.transfermarkt.com/spielbericht/index/spielbericht/4280472,Uzbekistan,0
1,AFC Asian Cup,Round of 16,Saudi Arabia,2:4 PSO,South Korea,https://www.transfermarkt.com/spielbericht/index/spielbericht/4274565,Saudi Arabia,0
2,AFC Asian Cup,Round of 16,Australia,4:2 PSO,Uzbekistan,https://www.transfermarkt.com/spielbericht/index/spielbericht/3148281,Australia,1
3,AFC Asian Cup,Quarter-Finals,Iran,6:7 PSO,Iraq,https://www.transfermarkt.com/spielbericht/index/spielbericht/2528974,Iran,0
4,AFC Asian Cup,Semi-Finals,Japan,3:0 PSO,South Korea,https://www.transfermarkt.com/spielbericht/index/spielbericht/1074870,Japan,1
5,AFC Asian Cup,Semi-Finals,Iraq,4:3 PSO,South Korea,https://www.transfermarkt.com/spielbericht/index/spielbericht/1151065,Iraq,1
6,AFC Asian Cup,Quarter-Finals,Japan,4:3 PSO,Australia,https://www.transfermarkt.com/spielbericht/index/spielbericht/1151061,Australia,0
7,AFC Asian Cup,Quarter-Finals,Japan,4:3 PSO,Jordan,https://www.transfermarkt.com/spielbericht/index/spielbericht/2388679,Japan,1
8,AFC Asian Cup,Round of 16,Iran,5:3 PSO,Syria,https://www.transfermarkt.com/spielbericht/index/spielbericht/4274567,Iran,1
9,AFC Asian Cup,Round of 16,Tajikistan,5:3 PSO,UAE,https://www.transfermarkt.com/spielbericht/index/spielbericht/4274561,Tajikistan,1
10,AFC Asian Cup,Round of 16,Jordan,2:4 PSO,Vietnam,https://www.transfermarkt.com/spielbericht/index/spielbericht/3148277,Vietnam,1
11,AFC Asian Cup,Quarter-Finals,Japan,4:5 PSO,UAE,https://www.transfermarkt.com/spielbericht/index/spielbericht/2528975,Japan,0
12,AFC Asian Cup,Third Place Play-Off,South Korea,6:5 PSO,Japan,https://www.transfermarkt.com/spielbericht/index/spielbericht/1151073,South Korea,1
13,AFC Asian Cup,Quarter-Finals,Iran,2:4 PSO,South Korea,https://www.transfermarkt.com/spielbericht/index/spielbericht/1151063,South Korea,1
14,AFC Asian Cup,Semi-Finals,China,4:3 PSO,Iran,https://www.transfermarkt.com/spielbericht/index/spielbericht/2388680,China,1
15,AFC Asian Cup,Quarter-Finals,Uzbekistan,3:4 PSO,Bahrain,https://www.transfermarkt.com/spielbericht/index/spielbericht/2388677,Bahrain,1
0,Olympic,Quarter-Finals,Egypt,5:4 PSO,Paraguay,https://www.transfermarkt.com/spielbericht/index/spielbericht/4397266,Paraguay,0
1,Olympic,Quarter-Finals,Japan,4:2 PSO,New Zealand,https://www.transfermarkt.com/spielbericht/index/spielbericht/3628147,New Zealand,0
2,Olympic,Quarter-Finals,Great Britain,4:5 PSO,South Korea Ol.,https://www.transfermarkt.com/spielbericht/index/spielbericht/2688699,Great Britain,0
3,Olympic,Quarter-Finals,USA,5:4 PSO,Japan,https://www.transfermarkt.com/spielbericht/index/spielbericht/2688792,Japan,0
4,Olympic,Quarter-Finals,Brazil Olympic,4:2 PSO,Canada,https://www.transfermarkt.com/spielbericht/index/spielbericht/2690273,Brazil Olympic,1
5,Olympic,Semi-Finals,Mexico,1:4 PSO,Brazil Olympic,https://www.transfermarkt.com/spielbericht/index/spielbericht/3635813,Brazil Olympic,1
6,Olympic,Final,Brazil Olympic,5:4 PSO,Germany,https://www.transfermarkt.com/spielbericht/index/spielbericht/2748967,Brazil Olympic,1
7,Olympic,Final,Cameroon,5:3 PSO,Spain,https://www.transfermarkt.com/spielbericht/index/spielbericht/2688799,Spain,0
8,Olympic,Semi-Finals,Brazil Olympic,3:2 PSO,Germany,https://www.transfermarkt.com/spielbericht/index/spielbericht/2689604,Brazil Olympic,1
